21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,29,21 26 5 14 11 14 24 26 11 14 11 8 24 26 11 8 5 8 24 26 5 8 5 14 24 27 22
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,30,21 26 9 18 17 18 24 26 17 18 17 15 24 26 17 15 9 15 24 26 9 15 9 18 24 28 22
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,31,21 26 4 12 10 12 24 26 10 12 10 9 24 26 10 9 4 9 24 26 4 9 4 12 24 29 22
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,32,21 26 9 13 14 13 24 26 14 13 14 8 24 26 14 8 9 8 24 26 9 8 9 13 24 30 22
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,30,21 26 9 8 16 19 24 26 16 19 9 9 24 26 9 9 9 8 24 28 22 32 32 32 32 32 32
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,29,21 26 2 8 7 14 24 26 7 14 6 11 24 26 6 11 2 8 24 27 22 32 32 32 32 32 32
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,32,21 26 11 1 9 15 24 26 9 15 18 5 24 26 18 5 11 1 24 30 22 32 32 32 32 32 32
21 25 10 4 4 24 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,31,21 26 13 13 8 13 24 26 8 13 15 7 24 26 15 7 13 13 24 29 22 32 32 32 32 32 32
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,23,21 26 6 14 8 14 24 26 8 14 8 12 24 26 8 12 6 12 24 26 6 12 6 14 24 31 22
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,19,21 26 5 14 11 14 24 26 11 14 11 8 24 26 11 8 5 8 24 26 5 8 5 14 24 27 22
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,20,21 26 9 18 17 18 24 26 17 18 17 15 24 26 17 15 9 15 24 26 9 15 9 18 24 28 22
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,22,21 26 9 13 14 13 24 26 14 13 14 8 24 26 14 8 9 8 24 26 9 8 9 13 24 30 22
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,20,21 26 9 8 16 19 24 26 16 19 9 9 24 26 9 9 9 8 24 28 22 32 32 32 32 32 32
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,19,21 26 2 8 7 14 24 26 7 14 6 11 24 26 6 11 2 8 24 27 22 32 32 32 32 32 32
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,22,21 26 11 1 9 15 24 26 9 15 18 5 24 26 18 5 11 1 24 30 22 32 32 32 32 32 32
21 25 19 11 17 24 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,23,21 26 7 5 3 4 24 26 3 4 17 8 24 26 17 8 7 5 24 31 22 32 32 32 32 32 32
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,13,21 26 6 14 8 14 24 26 8 14 8 12 24 26 8 12 6 12 24 26 6 12 6 14 24 31 22
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,10,21 26 9 18 17 18 24 26 17 18 17 15 24 26 17 15 9 15 24 26 9 15 9 18 24 28 22
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,11,21 26 4 12 10 12 24 26 10 12 10 9 24 26 10 9 4 9 24 26 4 9 4 12 24 29 22
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,12,21 26 9 13 14 13 24 26 14 13 14 8 24 26 14 8 9 8 24 26 9 8 9 13 24 30 22
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,10,21 26 9 8 16 19 24 26 16 19 9 9 24 26 9 9 9 8 24 28 22 32 32 32 32 32 32
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,12,21 26 11 1 9 15 24 26 9 15 18 5 24 26 18 5 11 1 24 30 22 32 32 32 32 32 32
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,11,21 26 13 13 8 13 24 26 8 13 15 7 24 26 15 7 13 13 24 29 22 32 32 32 32 32 32
21 25 5 0 13 24 27 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,13,21 26 7 5 3 4 24 26 3 4 17 8 24 26 17 8 7 5 24 31 22 32 32 32 32 32 32
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,18,21 26 6 14 8 14 24 26 8 14 8 12 24 26 8 12 6 12 24 26 6 12 6 14 24 31 22
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,14,21 26 5 14 11 14 24 26 11 14 11 8 24 26 11 8 5 8 24 26 5 8 5 14 24 27 22
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,16,21 26 4 12 10 12 24 26 10 12 10 9 24 26 10 9 4 9 24 26 4 9 4 12 24 29 22
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,17,21 26 9 13 14 13 24 26 14 13 14 8 24 26 14 8 9 8 24 26 9 8 9 13 24 30 22
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,14,21 26 2 8 7 14 24 26 7 14 6 11 24 26 6 11 2 8 24 27 22 32 32 32 32 32 32
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,17,21 26 11 1 9 15 24 26 9 15 18 5 24 26 18 5 11 1 24 30 22 32 32 32 32 32 32
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,16,21 26 13 13 8 13 24 26 8 13 15 7 24 26 15 7 13 13 24 29 22 32 32 32 32 32 32
21 25 10 3 13 24 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,18,21 26 7 5 3 4 24 26 3 4 17 8 24 26 17 8 7 5 24 31 22 32 32 32 32 32 32
21 25 14 14 11 24 30 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,28,21 26 6 14 8 14 24 26 8 14 8 12 24 26 8 12 6 12 24 26 6 12 6 14 24 31 22
