21 25 10 4 4 24 38 41 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,39,51,59,92,101,137,147,182,189,225,257,21 26 11 12 19 12 47 68 24 26 19 12 12 19 50 71 24 26 12 19 11 12 57 74 24 30 22 32 32 32 32 32 32 32 32
21 25 10 4 4 24 38 41 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,39,51,56,91,101,137,146,181,189,225,255,21 26 14 18 0 2 44 67 24 26 0 2 14 11 50 71 24 26 14 11 14 18 56 73 24 28 22 32 32 32 32 32 32 32 32
21 25 10 4 4 24 38 41 31 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,39,51,59,91,100,136,145,181,189,225,254,21 26 6 0 15 16 47 67 24 26 15 16 17 12 49 70 24 26 17 12 6 0 55 73 24 27 22 32 32 32 32 32 32 32 32
21 25 19 11 5 24 34 40 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,15,48,58,91,102,137,146,181,193,227,243,21 26 5 10 10 10 46 67 24 26 10 10 10 7 51 71 24 26 10 7 5 7 56 73 24 26 5 7 5 10 64 77 24 31 22
21 25 19 11 5 24 34 40 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,15,48,57,92,100,136,148,181,189,225,240,21 26 9 5 1 3 45 68 24 26 1 3 18 2 49 70 24 26 18 2 9 5 58 73 24 28 22 32 32 32 32 32 32 32 32
21 25 19 11 5 24 34 40 28 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,15,48,58,92,100,136,147,182,193,226,239,21 26 1 18 1 18 46 68 24 26 1 18 1 9 49 70 24 26 1 9 1 9 57 74 24 26 1 9 1 18 64 76 24 27 22
21 25 13 0 11 24 34 41 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,15,51,57,92,104,137,146,182,191,227,244,21 26 9 17 12 17 45 68 24 26 12 17 12 14 53 71 24 26 12 14 9 14 56 74 24 26 9 14 9 17 62 77 24 27 22
21 25 13 0 11 24 34 41 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,15,51,59,91,103,137,149,182,189,225,246,21 26 3 0 19 5 47 67 24 26 19 5 12 3 52 71 24 26 12 3 3 0 59 74 24 29 22 32 32 32 32 32 32 32 32
21 25 13 0 11 24 34 41 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,1,15,51,58,92,101,137,148,182,194,227,245,21 26 3 14 10 14 46 68 24 26 10 14 10 11 50 71 24 26 10 11 3 11 58 74 24 26 3 11 3 14 65 77 24 28 22
21 25 6 10 10 24 38 41 29 22 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32,2,39,51,59,91,103,137,145,182,189,225,245,21 26 14 4 19 16 47 67 24 26 19 16 13 1 52 71 24 26 13 1 14 4 55 74 24 28 22 32 32 32 32 32 32 32 32
